訂單號碼,客戶編號,員工編號,訂單日期,要貨日期,送貨日期,送貨方式,運費,收貨人,送貨地址,送貨城市,送貨行政區,送貨郵遞區號,送貨國家地區
10266,WARTH,3,2002-07-26 00:00:00,2002-09-06 00:00:00,2002-07-31 00:00:00,3,25.73,成先生,台中市中港路一段78號,台中市,中港,90110,
10267,FRANK,4,2002-07-29 00:00:00,2002-08-26 00:00:00,2002-08-06 00:00:00,1,208.58,余小姐,台北市北平東路42號3樓之一,台北市,北平,80805,
10268,GROSR,8,2002-07-30 00:00:00,2002-08-27 00:00:00,2002-08-02 00:00:00,3,66.29,劉先生,台中市仁愛路二段120號,台中市,仁愛,10810,
10269,WHITC,5,2002-07-31 00:00:00,2002-08-14 00:00:00,2002-08-09 00:00:00,1,4.56,黎先生,屏東縣永大路4號,屏東縣,永大,98124,
10270,WARTH,1,2002-08-01 00:00:00,2002-08-29 00:00:00,2002-08-02 00:00:00,1,136.54,成先生,台中市中港路一段78號,台中市,中港,90110,
10271,SPLIR,6,2002-08-01 00:00:00,2002-08-29 00:00:00,2002-08-30 00:00:00,2,4.54,唐小姐,屏東市中山路7號,屏東市,中山,82520,
10272,RATTC,6,2002-08-02 00:00:00,2002-08-30 00:00:00,2002-08-06 00:00:00,2,98.03,王先生,台北縣中新路11號,台北縣,中新,87110,
10273,QUICK,3,2002-08-05 00:00:00,2002-09-02 00:00:00,2002-08-12 00:00:00,3,76.07,劉先生,台中市仁愛路二段120號,台中市,仁愛,01307,
10274,VINET,6,2002-08-06 00:00:00,2002-09-03 00:00:00,2002-08-16 00:00:00,1,6.01,余小姐,台北市北平東路24號3樓之一,台北市,北平,51100,
10275,MAGAA,1,2002-08-07 00:00:00,2002-09-04 00:00:00,2002-08-09 00:00:00,1,26.93,王炫皓,高雄市中正路一段12號,高雄市,中正,24100,
10276,TORTU,8,2002-08-08 00:00:00,2002-08-22 00:00:00,2002-08-14 00:00:00,3,13.84,王先生,台北縣中新路11號,台北縣,中新,05033,
10277,MORGK,2,2002-08-09 00:00:00,2002-09-06 00:00:00,2002-08-13 00:00:00,3,125.77,方建文,宜蘭市經國路55號,宜蘭市,經國,04179,
10278,BERGS,8,2002-08-12 00:00:00,2002-09-09 00:00:00,2002-08-16 00:00:00,2,92.69,李先生,花蓮市花蓮路98號,花蓮市,花蓮,12958,
10279,LEHMS,8,2002-08-13 00:00:00,2002-09-10 00:00:00,2002-08-16 00:00:00,2,25.83,黎先生,屏東縣永大路4號,屏東縣,永大,60528,
10280,BERGS,2,2002-08-14 00:00:00,2002-09-11 00:00:00,2002-09-12 00:00:00,1,8.98,李先生,花蓮市花蓮路98號,花蓮市,花蓮,12958,
10281,ROMEY,4,2002-08-14 00:00:00,2002-08-28 00:00:00,2002-08-21 00:00:00,1,2.94,陳先生,台北市北平東路24號,台北市,北平,28001,
10282,ROMEY,4,2002-08-15 00:00:00,2002-09-12 00:00:00,2002-08-21 00:00:00,1,12.69,陳先生,台北市北平東路24號,台北市,北平,28001,
10283,LILAS,3,2002-08-16 00:00:00,2002-09-13 00:00:00,2002-08-23 00:00:00,3,84.81,陳玉美,桃園縣富國路77號,桃園縣,富國,35082,
10284,LEHMS,4,2002-08-19 00:00:00,2002-09-16 00:00:00,2002-08-27 00:00:00,1,76.56,黎先生,屏東縣永大路4號,屏東縣,永大,60528,
10285,QUICK,1,2002-08-20 00:00:00,2002-09-17 00:00:00,2002-08-26 00:00:00,2,76.83,劉先生,台中市仁愛路二段120號,台中市,仁愛,01307,
10286,QUICK,8,2002-08-21 00:00:00,2002-09-18 00:00:00,2002-08-30 00:00:00,3,229.24,劉先生,台中市仁愛路二段120號,台中市,仁愛,01307,
10287,RICAR,8,2002-08-22 00:00:00,2002-09-19 00:00:00,2002-08-28 00:00:00,3,12.76,周先生,宜蘭市經國路55號,宜蘭市,經國,02389,
10288,REGGC,4,2002-08-23 00:00:00,2002-09-20 00:00:00,2002-09-03 00:00:00,1,7.45,徐先生,花蓮市花蓮路98號,花蓮市,花蓮,42100,
10289,BSBEV,7,2002-08-26 00:00:00,2002-09-23 00:00:00,2002-08-28 00:00:00,3,22.77,徐先生,台中市中港路一段78號,台中市,中港,12958,
10290,COMMI,8,2002-08-27 00:00:00,2002-09-24 00:00:00,2002-09-03 00:00:00,1,79.7,鍾小姐,桃園縣富國路42號,桃園縣,富國,12958,
10291,QUEDE,6,2002-08-27 00:00:00,2002-09-24 00:00:00,2002-09-04 00:00:00,2,6.4,劉先生,桃園縣富國路42號,桃園縣,富國,12958,
10292,TRADH,1,2002-08-28 00:00:00,2002-09-25 00:00:00,2002-09-02 00:00:00,2,1.35,徐先生,花蓮市花蓮路98號,花蓮市,花蓮,05634,
10293,TORTU,1,2002-08-29 00:00:00,2002-09-26 00:00:00,2002-09-11 00:00:00,3,21.18,王先生,台北縣中新路11號,台北縣,中新,05033,
10294,RATTC,4,2002-08-30 00:00:00,2002-09-27 00:00:00,2002-09-05 00:00:00,2,147.26,王先生,台北縣中新路11號,台北縣,中新,87110,
10295,VINET,2,2002-09-02 00:00:00,2002-09-30 00:00:00,2002-09-10 00:00:00,2,1.15,余小姐,台北市北平東路24號3樓之一,台北市,北平,51100,
10296,LILAS,6,2002-09-03 00:00:00,2002-10-01 00:00:00,2002-09-11 00:00:00,1,0.12,陳玉美,桃園縣富國路77號,桃園縣,富國,35084,
10297,BLONP,5,2002-09-04 00:00:00,2002-10-16 00:00:00,2002-09-10 00:00:00,2,5.74,方先生,新竹市永平路一段1號,新竹市,永平,67000,
10298,HUNGO,6,2002-09-05 00:00:00,2002-10-03 00:00:00,2002-09-11 00:00:00,2,168.22,周先生,宜蘭市經國路55號,宜蘭市,經國,12958,
10299,RICAR,4,2002-09-06 00:00:00,2002-10-04 00:00:00,2002-09-13 00:00:00,2,29.76,周先生,宜蘭市經國路55號,宜蘭市,經國,02389,
10300,MAGAA,2,2002-09-09 00:00:00,2002-10-07 00:00:00,2002-09-18 00:00:00,2,17.68,王炫皓,高雄市中正路一段12號,高雄市,中正,24100,
10301,WANDK,8,2002-09-09 00:00:00,2002-10-07 00:00:00,2002-09-17 00:00:00,2,45.08,蘇先生,新竹市竹北路8號,新竹市,竹北,70563,
10302,SUPRD,4,2002-09-10 00:00:00,2002-10-08 00:00:00,2002-10-09 00:00:00,2,6.27,劉先生,桃園縣富國路42號,桃園縣,富國,12958,
10303,GODOS,7,2002-09-11 00:00:00,2002-10-09 00:00:00,2002-09-18 00:00:00,2,107.83,鍾小姐,屏東市中山路7號,屏東市,中山,41101,
10304,TORTU,1,2002-09-12 00:00:00,2002-10-10 00:00:00,2002-09-17 00:00:00,2,63.79,王先生,台北縣中新路11號,台北縣,中新,05033,
10305,OLDWO,8,2002-09-13 00:00:00,2002-10-11 00:00:00,2002-10-09 00:00:00,3,257.62,王俊元,台北市北平東路24號3樓之一,台北市,北平,99508,
10306,ROMEY,1,2002-09-16 00:00:00,2002-10-14 00:00:00,2002-09-23 00:00:00,3,7.56,陳先生,台北市北平東路24號,台北市,北平,28001,
10307,LONEP,2,2002-09-17 00:00:00,2002-10-15 00:00:00,2002-09-25 00:00:00,2,0.56,胡繼堯,台中市仁愛路二段120號,台中市,仁愛,97219,
10308,XXYYZ,7,2002-09-18 00:00:00,2002-10-16 00:00:00,2002-09-24 00:00:00,3,1.61,黃小姐,台中市仁愛路二段120號,台中市,仁愛,05021,
10309,HUNGO,3,2002-09-19 00:00:00,2002-10-17 00:00:00,2002-10-23 00:00:00,1,47.3,周先生,宜蘭市經國路55號,宜蘭市,經國,12958,
10310,THEBI,8,2002-09-20 00:00:00,2002-10-18 00:00:00,2002-09-27 00:00:00,2,17.52,方先生,台北市忠孝東路四段32號,台北市,忠孝,97201,
10311,DUMON,1,2002-09-20 00:00:00,2002-10-04 00:00:00,2002-09-26 00:00:00,3,24.69,劉先生,台中市仁愛路四段180號,台中市,仁愛,44000,
10312,WANDK,2,2002-09-23 00:00:00,2002-10-21 00:00:00,2002-10-03 00:00:00,2,40.26,蘇先生,新竹市竹北路8號,新竹市,竹北,70563,
10313,QUICK,2,2002-09-24 00:00:00,2002-10-22 00:00:00,2002-10-04 00:00:00,2,1.96,劉先生,台中市仁愛路二段120號,台中市,仁愛,01307,
10314,RATTC,1,2002-09-25 00:00:00,2002-10-23 00:00:00,2002-10-04 00:00:00,2,74.16,王先生,台北縣中新路11號,台北縣,中新,87110,
10315,ISLAT,4,2002-09-26 00:00:00,2002-10-24 00:00:00,2002-10-03 00:00:00,2,41.76,方先生,新竹市永平路一段1號,新竹市,永平,12958,
10316,RATTC,1,2002-09-27 00:00:00,2002-10-25 00:00:00,2002-10-08 00:00:00,3,150.15,王先生,台北縣中新路11號,台北縣,中新,87110,
10317,LONEP,6,2002-09-30 00:00:00,2002-10-28 00:00:00,2002-10-10 00:00:00,1,12.69,胡繼堯,台中市仁愛路二段120號,台中市,仁愛,97219,
10318,ISLAT,8,2002-10-01 00:00:00,2002-10-29 00:00:00,2002-10-04 00:00:00,2,4.73,方先生,新竹市永平路一段1號,新竹市,永平,12958,
10319,TORTU,7,2002-10-02 00:00:00,2002-10-30 00:00:00,2002-10-11 00:00:00,3,64.5,王先生,台北縣中新路11號,台北縣,中新,05033,
10320,WARTH,5,2002-10-03 00:00:00,2002-10-17 00:00:00,2002-10-18 00:00:00,3,34.57,成先生,台中市中港路一段78號,台中市,中港,90110,
10321,ISLAT,3,2002-10-03 00:00:00,2002-10-31 00:00:00,2002-10-11 00:00:00,2,3.43,方先生,新竹市永平路一段1號,新竹市,永平,12958,
10322,PERIC,7,2002-10-04 00:00:00,2002-11-01 00:00:00,2002-10-23 00:00:00,3,0.4,林慧音,南投縣南投路5號,南投縣,南投,05033,
10323,KOENE,4,2002-10-07 00:00:00,2002-11-04 00:00:00,2002-10-14 00:00:00,1,4.88,陳先生,台北市北平東路24號,台北市,北平,14776,
10324,SAVEA,9,2002-10-08 00:00:00,2002-11-05 00:00:00,2002-10-10 00:00:00,1,214.27,蘇先生,新竹市竹北路8號,新竹市,竹北,83720,
10325,KOENE,1,2002-10-09 00:00:00,2002-10-23 00:00:00,2002-10-14 00:00:00,3,64.86,陳先生,台北市北平東路24號,台北市,北平,14776,
10326,BOLID,4,2002-10-10 00:00:00,2002-11-07 00:00:00,2002-10-14 00:00:00,2,77.92,劉先生,台北市北平東路24號,台北市,北平,28023,
10327,FOLKO,2,2002-10-11 00:00:00,2002-11-08 00:00:00,2002-10-14 00:00:00,1,63.36,陳先生,台北市北平東路64號,台北市,北平,12958,
10328,FURIB,4,2002-10-14 00:00:00,2002-11-11 00:00:00,2002-10-17 00:00:00,3,87.03,林小姐,南投縣南投路5號,南投縣,南投,12958,
10329,SPLIR,4,2002-10-15 00:00:00,2002-11-26 00:00:00,2002-10-23 00:00:00,2,191.67,唐小姐,屏東市中山路7號,屏東市,中山,82520,
10330,LILAS,3,2002-10-16 00:00:00,2002-11-13 00:00:00,2002-10-28 00:00:00,1,12.75,陳玉美,桃園縣富國路77號,桃園縣,富國,35084,
10331,BONAP,9,2002-10-16 00:00:00,2002-11-27 00:00:00,2002-10-21 00:00:00,1,10.19,謝小姐,台北市北平東路24號3樓之一,台北市,北平,13008,
10332,MEREP,3,2002-10-17 00:00:00,2002-11-28 00:00:00,2002-10-21 00:00:00,2,52.84,劉維國,花蓮市花蓮路98號,花蓮市,花蓮,12958,
10333,WARTH,5,2002-10-18 00:00:00,2002-11-15 00:00:00,2002-10-25 00:00:00,3,0.59,成先生,台中市中港路一段78號,台中市,中港,90110,
10334,VICTE,8,2002-10-21 00:00:00,2002-11-18 00:00:00,2002-10-28 00:00:00,2,8.56,陳先生,台北市北平東路24號,台北市,北平,69004,
10335,HUNGO,7,2002-10-22 00:00:00,2002-11-19 00:00:00,2002-10-24 00:00:00,2,42.11,周先生,宜蘭市經國路55號,宜蘭市,經國,12958,
10336,PRINI,7,2002-10-23 00:00:00,2002-11-20 00:00:00,2002-10-25 00:00:00,2,15.51,鍾彩瑜,屏東市中山路7號,屏東市,中山,17563,
10337,FRANK,4,2002-10-24 00:00:00,2002-11-21 00:00:00,2002-10-29 00:00:00,3,108.26,余小姐,台北市北平東路42號3樓之一,台北市,北平,80805,
10338,OLDWO,4,2002-10-25 00:00:00,2002-11-22 00:00:00,2002-10-29 00:00:00,3,84.21,王俊元,台北市北平東路24號3樓之一,台北市,北平,99508,
10339,MEREP,2,2002-10-28 00:00:00,2002-11-25 00:00:00,2002-11-04 00:00:00,2,15.66,劉維國,花蓮市花蓮路98號,花蓮市,花蓮,12958,
10340,BONAP,1,2002-10-29 00:00:00,2002-11-26 00:00:00,2002-11-08 00:00:00,3,166.31,謝小姐,台北市北平東路24號3樓之一,台北市,北平,13008,
10341,SIMOB,7,2002-10-29 00:00:00,2002-11-26 00:00:00,2002-11-05 00:00:00,3,26.78,何先生,南投縣南投路5號,南投縣,南投,17343,
10342,FRANK,4,2002-10-30 00:00:00,2002-11-13 00:00:00,2002-11-04 00:00:00,2,54.83,余小姐,台北市北平東路42號3樓之一,台北市,北平,80805,
10343,LEHMS,4,2002-10-31 00:00:00,2002-11-28 00:00:00,2002-11-06 00:00:00,1,110.37,黎先生,屏東縣永大路4號,屏東縣,永大,60528,
10344,WHITC,4,2002-11-01 00:00:00,2002-11-29 00:00:00,2002-11-05 00:00:00,2,23.29,黎先生,屏東縣永大路4號,屏東縣,永大,98124,
10345,QUICK,2,2002-11-04 00:00:00,2002-12-02 00:00:00,2002-11-11 00:00:00,2,249.06,劉先生,台中市仁愛路二段120號,台中市,仁愛,01307,
10346,RATTC,3,2002-11-05 00:00:00,2002-12-17 00:00:00,2002-11-08 00:00:00,3,142.08,王先生,台北縣中新路11號,台北縣,中新,87110,
10347,FAMIA,4,2002-11-06 00:00:00,2002-12-04 00:00:00,2002-11-08 00:00:00,3,3.1,徐先生,花蓮市花中路15號,花蓮市,花中,05442,
10348,WANDK,4,2002-11-07 00:00:00,2002-12-05 00:00:00,2002-11-15 00:00:00,2,0.78,蘇先生,新竹市竹北路8號,新竹市,竹北,70563,
10349,SPLIR,7,2002-11-08 00:00:00,2002-12-06 00:00:00,2002-11-15 00:00:00,1,8.63,唐小姐,屏東市中山路7號,屏東市,中山,82520,
10350,LAMAI,6,2002-11-11 00:00:00,2002-12-09 00:00:00,2002-12-03 00:00:00,2,64.19,蘇先生,新竹市竹北路8號,新竹市,竹北,31000,
10351,ERNSH,1,2002-11-11 00:00:00,2002-12-09 00:00:00,2002-11-20 00:00:00,1,162.33,王先生,台北縣北新路11號,台北縣,北新,80103,
10352,FURIB,3,2002-11-12 00:00:00,2002-11-26 00:00:00,2002-11-18 00:00:00,3,1.3,林小姐,南投縣南投路5號,南投縣,南投,16753,
10353,PICCO,7,2002-11-13 00:00:00,2002-12-11 00:00:00,2002-11-25 00:00:00,3,360.63,林麗莉,屏東縣永大路4號,屏東縣,永大,50203,
10354,PERIC,8,2002-11-14 00:00:00,2002-12-12 00:00:00,2002-11-20 00:00:00,3,53.8,林慧音,南投縣南投路5號,南投縣,南投,05033,
10355,XXYYZ,6,2002-11-15 00:00:00,2002-12-13 00:00:00,2002-11-20 00:00:00,1,41.95,王先生,台北縣中新路11號,台北縣,中新,12958,
10356,WANDK,6,2002-11-18 00:00:00,2002-12-16 00:00:00,2002-11-27 00:00:00,2,36.71,蘇先生,新竹市竹北路8號,新竹市,竹北,70563,
10357,LILAS,1,2002-11-19 00:00:00,2002-12-17 00:00:00,2002-12-02 00:00:00,3,34.88,陳玉美,桃園縣富國路77號,桃園縣,富國,35085,
10358,LAMAI,5,2002-11-20 00:00:00,2002-12-18 00:00:00,2002-11-27 00:00:00,1,19.64,蘇先生,新竹市竹北路8號,新竹市,竹北,31000,
10359,SEVES,5,2002-11-21 00:00:00,2002-12-19 00:00:00,2002-11-26 00:00:00,3,288.43,成先生,台中市中港路一段78號,台中市,中港,12958,
10360,BLONP,4,2002-11-22 00:00:00,2002-12-20 00:00:00,2002-12-02 00:00:00,3,131.7,方先生,新竹市永平路一段1號,新竹市,永平,67000,
10361,QUICK,1,2002-11-22 00:00:00,2002-12-20 00:00:00,2002-12-03 00:00:00,2,183.17,劉先生,台中市仁愛路二段120號,台中市,仁愛,01307,
10362,BONAP,3,2002-11-25 00:00:00,2002-12-23 00:00:00,2002-11-28 00:00:00,1,96.04,謝小姐,台北市北平東路24號3樓之一,台北市,北平,13008,
10363,DRACD,4,2002-11-26 00:00:00,2002-12-24 00:00:00,2002-12-04 00:00:00,3,30.54,方先生,台北市忠孝東路三段2號,台北市,忠孝,52066,
10364,EASTC,1,2002-11-26 00:00:00,2003-01-07 00:00:00,2002-12-04 00:00:00,1,71.97,謝小姐,高雄市中正路四|段65號,高雄市,中正,12958,
10365,ANTON,3,2002-11-27 00:00:00,2002-12-25 00:00:00,2002-12-02 00:00:00,2,22,胡先生,高雄市中正路一段12號,高雄市,中正,05023,
10366,GALED,8,2002-11-28 00:00:00,2003-01-09 00:00:00,2002-12-30 00:00:00,2,10.14,林小姐,屏東縣永大路4號,屏東縣,永大,80226,
10367,VAFFE,7,2002-11-28 00:00:00,2002-12-26 00:00:00,2002-12-02 00:00:00,3,13.55,方先生,新竹市永平路一段1號,新竹市,永平,82003,
10368,ERNSH,2,2002-11-29 00:00:00,2002-12-27 00:00:00,2002-12-02 00:00:00,2,101.95,王先生,台北縣北新路11號,台北縣,北新,80103,
10369,SPLIR,8,2002-12-02 00:00:00,2002-12-30 00:00:00,2002-12-09 00:00:00,2,195.68,唐小姐,屏東市中山路7號,屏東市,中山,82520,
10370,CHOPS,6,2002-12-03 00:00:00,2002-12-31 00:00:00,2002-12-27 00:00:00,2,1.17,林小姐,屏東市中山路7號,屏東市,中山,30124,
10371,LAMAI,1,2002-12-03 00:00:00,2002-12-31 00:00:00,2002-12-24 00:00:00,1,0.45,蘇先生,新竹市竹北路8號,新竹市,竹北,31000,
10372,QUEEN,5,2002-12-04 00:00:00,2003-01-01 00:00:00,2002-12-09 00:00:00,2,890.78,方先生,台北市忠孝東路四段32號,台北市,忠孝,12958,
10373,HUNGO,4,2002-12-05 00:00:00,2003-01-02 00:00:00,2002-12-11 00:00:00,3,124.12,周先生,宜蘭市經國路55號,宜蘭市,經國,12958,
10374,WOLZA,1,2002-12-05 00:00:00,2003-01-02 00:00:00,2002-12-09 00:00:00,3,3.94,吳小姐,桃園縣富國路42號,桃園縣,富國,10608,
10375,HUNGC,3,2002-12-06 00:00:00,2003-01-03 00:00:00,2002-12-09 00:00:00,2,20.12,徐先生,花蓮市花蓮路98號,花蓮市,花蓮,97827,
10376,MEREP,1,2002-12-09 00:00:00,2003-01-06 00:00:00,2002-12-13 00:00:00,2,20.39,劉維國,花蓮市花蓮路98號,花蓮市,花蓮,12958,
10377,SEVES,1,2002-12-09 00:00:00,2003-01-06 00:00:00,2002-12-13 00:00:00,3,22.21,成先生,台中市中港路一段78號,台中市,中港,12958,
10378,FOLKO,5,2002-12-10 00:00:00,2003-01-07 00:00:00,2002-12-19 00:00:00,3,5.44,陳先生,台北市北平東路64號,台北市,北平,12958,
10379,QUEDE,2,2002-12-11 00:00:00,2003-01-08 00:00:00,2002-12-13 00:00:00,1,45.03,劉先生,桃園縣富國路42號,桃園縣,富國,02389,
10380,HUNGO,8,2002-12-12 00:00:00,2003-01-09 00:00:00,2003-01-16 00:00:00,3,35.03,周先生,宜蘭市經國路55號,宜蘭市,經國,12958,
10381,LILAS,3,2002-12-12 00:00:00,2003-01-09 00:00:00,2002-12-13 00:00:00,3,7.99,陳玉美,桃園縣富國路77號,桃園縣,富國,35084,
10382,ERNSH,4,2002-12-13 00:00:00,2003-01-10 00:00:00,2002-12-16 00:00:00,1,94.77,王先生,台北縣北新路11號,台北縣,北新,80104,
10383,AROUT,8,2002-12-16 00:00:00,2003-01-13 00:00:00,2002-12-18 00:00:00,3,34.24,王先生,台北縣中新路11號,台北縣,中新,12958,
10384,BERGS,3,2002-12-16 00:00:00,2003-01-13 00:00:00,2002-12-20 00:00:00,3,168.64,李先生,花蓮市花蓮路98號,花蓮市,花蓮,12958,
10385,SPLIR,1,2002-12-17 00:00:00,2003-01-14 00:00:00,2002-12-23 00:00:00,2,30.96,唐小姐,屏東市中山路7號,屏東市,中山,82520,
10386,FAMIA,9,2002-12-18 00:00:00,2003-01-01 00:00:00,2002-12-25 00:00:00,3,13.99,徐先生,花蓮市花中路15號,花蓮市,花中,05442,
10387,SANTG,1,2002-12-18 00:00:00,2003-01-15 00:00:00,2002-12-20 00:00:00,2,93.63,余小姐,台北市北平東路24號3樓之一,台北市,北平,41106,
10388,SEVES,2,2002-12-19 00:00:00,2003-01-16 00:00:00,2002-12-20 00:00:00,1,34.86,成先生,台中市中港路一段78號,台中市,中港,12958,
10389,BOTTM,4,2002-12-20 00:00:00,2003-01-17 00:00:00,2002-12-24 00:00:00,2,47.42,王先生,新竹市竹北路8號,新竹市,竹北,12958,
10390,ERNSH,6,2002-12-23 00:00:00,2003-01-20 00:00:00,2002-12-26 00:00:00,1,126.38,王先生,台北縣北新路11號,台北縣,北新,80108,
10391,DRACD,3,2002-12-23 00:00:00,2003-01-20 00:00:00,2002-12-31 00:00:00,3,5.45,方先生,台北市忠孝東路三段2號,台北市,忠孝,52066,
10392,PICCO,2,2002-12-24 00:00:00,2003-01-21 00:00:00,2003-01-01 00:00:00,3,122.46,林麗莉,屏東縣永大路4號,屏東縣,永大,50206,
10393,SAVEA,1,2002-12-25 00:00:00,2003-01-22 00:00:00,2003-01-03 00:00:00,3,126.56,蘇先生,新竹市竹北路8號,新竹市,竹北,83720,
10394,HUNGC,1,2002-12-25 00:00:00,2003-01-22 00:00:00,2003-01-03 00:00:00,3,30.34,徐先生,花蓮市花蓮路98號,花蓮市,花蓮,97827,
10395,HILAA,6,2002-12-26 00:00:00,2003-01-23 00:00:00,2003-01-03 00:00:00,1,184.41,王先生,台北縣中新路11號,台北縣,中新,50224,
10396,FRANK,1,2002-12-27 00:00:00,2003-01-10 00:00:00,2003-01-06 00:00:00,3,135.35,余小姐,台北市北平東路42號3樓之一,台北市,北平,80805,
10397,PRINI,5,2002-12-27 00:00:00,2003-01-24 00:00:00,2003-01-02 00:00:00,1,60.26,鍾彩瑜,屏東市中山路7號,屏東市,中山,17566,
10398,SAVEA,2,2002-12-30 00:00:00,2003-01-27 00:00:00,2003-01-09 00:00:00,3,89.16,蘇先生,新竹市竹北路8號,新竹市,竹北,83720,
10399,VAFFE,8,2002-12-31 00:00:00,2003-01-14 00:00:00,2003-01-08 00:00:00,3,27.36,方先生,新竹市永平路一段1號,新竹市,永平,82005,
10400,EASTC,1,2003-01-01 00:00:00,2003-01-29 00:00:00,2003-01-16 00:00:00,3,83.93,謝小姐,高雄市中正路四|段65號,高雄市,中正,12958,
10401,RATTC,1,2003-01-01 00:00:00,2003-01-29 00:00:00,2003-01-10 00:00:00,1,12.51,王先生,台北縣中新路11號,台北縣,中新,87110,
10402,ERNSH,8,2003-01-02 00:00:00,2003-02-13 00:00:00,2003-01-10 00:00:00,2,67.88,王先生,台北縣北新路11號,台北縣,北新,80109,
10403,ERNSH,4,2003-01-03 00:00:00,2003-01-31 00:00:00,2003-01-09 00:00:00,3,73.79,王先生,台北縣北新路11號,台北縣,北新,80106,
10404,MAGAA,2,2003-01-03 00:00:00,2003-01-31 00:00:00,2003-01-08 00:00:00,1,155.97,王炫皓,高雄市中正路一段12號,高雄市,中正,24100,
10405,LINOD,1,2003-01-06 00:00:00,2003-02-03 00:00:00,2003-01-22 00:00:00,1,34.82,黃雅玲,台北市忠孝東路四段32號,台北市,忠孝,49804,
10406,QUEEN,7,2003-01-07 00:00:00,2003-02-18 00:00:00,2003-01-13 00:00:00,1,108.04,方先生,台北市忠孝東路四段32號,台北市,忠孝,05487,
10407,OTTIK,2,2003-01-07 00:00:00,2003-02-04 00:00:00,2003-01-30 00:00:00,2,91.48,徐文彬,新竹市竹北路8號,新竹市,竹北,50739,
10408,FOLIG,8,2003-01-08 00:00:00,2003-02-05 00:00:00,2003-01-14 00:00:00,1,11.26,方先生,新竹市永平路7號,新竹市,永平,59000,
10409,OCEAN,3,2003-01-09 00:00:00,2003-02-06 00:00:00,2003-01-14 00:00:00,1,29.83,謝麗秋,台北市北平東路24號,台北市,北平,10104,
10410,BOTTM,3,2003-01-10 00:00:00,2003-02-07 00:00:00,2003-01-15 00:00:00,3,2.4,王先生,新竹市竹北路8號,新竹市,竹北,12958,
